OID_,Value,Count,bps_aoi,evt_aoi,BPS_NAME,GROUPVEG,EVT_NAME,EVT_PHYS
141,141,190.000000000000000,1612,7488,Central Interior and Appalachian Shrub-Herbaceous Wetland Systems,Riparian,Eastern Great Plains Wet Meadow-Prairie-Marsh,Riparian
142,142,1451251.000000000000000,11,7292,Open Water,Open Water,Open Water,Open Water
143,143,247.000000000000000,1599,9179,North-Central Interior Oak Savanna,Hardwood,North-Central Interior Floodplain Forest,Riparian
144,144,536177.000000000000000,1570,9315,North-Central Interior Oak Savanna,Hardwood,Northern & Central Native Ruderal Forest,Conifer-Hardwood
145,145,455606.000000000000000,1570,7976,North-Central Interior Oak Savanna,Hardwood,Eastern Cool Temperate Fallow/Idle Cropland,Agricultural
146,146,185.000000000000000,1599,7421,North-Central Interior Oak Savanna,Hardwood,Central Tallgrass Prairie,Grassland
147,147,74203.000000000000000,1576,9315,Central Tallgrass Prairie,Grassland,Northern & Central Native Ruderal Forest,Conifer-Hardwood
148,148,483703.000000000000000,1576,7975,Central Tallgrass Prairie,Grassland,Eastern Cool Temperate Close Grown Crop,Agricultural
149,149,5451121.000000000000000,1570,7974,North-Central Interior Oak Savanna,Hardwood,Eastern Cool Temperate Row Crop,Agricultural
150,150,1525279.000000000000000,1570,7975,North-Central Interior Oak Savanna,Hardwood,Eastern Cool Temperate Close Grown Crop,Agricultural
151,151,3049145.000000000000000,1576,7974,Central Tallgrass Prairie,Grassland,Eastern Cool Temperate Row Crop,Agricultural
152,152,93.000000000000000,1604,9318,Northern Tallgrass Prairie,Grassland,Northern & Central Ruderal Wet Meadow & Marsh,Riparian
153,153,82.000000000000000,1590,7488,North-Central Interior Dry-Mesic Oak Forest and Woodland,Hardwood,Eastern Great Plains Wet Meadow-Prairie-Marsh,Riparian
154,154,4.000000000000000,1610,9179,Laurentian-Acadian Alkaline Conifer-Hardwood Swamp,Riparian,North-Central Interior Floodplain Forest,Riparian
155,155,140.000000000000000,1609,7311,Central Interior and Appalachian Swamp Systems,Riparian,North-Central Interior Dry Oak Forest and Woodland,Hardwood
156,156,125925.000000000000000,1576,7976,Central Tallgrass Prairie,Grassland,Eastern Cool Temperate Fallow/Idle Cropland,Agricultural
157,157,164.000000000000000,1612,9315,Central Interior and Appalachian Shrub-Herbaceous Wetland Systems,Riparian,Northern & Central Native Ruderal Forest,Conifer-Hardwood
158,158,816512.000000000000000,1576,7977,Central Tallgrass Prairie,Grassland,Eastern Cool Temperate Pasture and Hayland,Agricultural
159,159,87559.000000000000000,1570,9312,North-Central Interior Oak Savanna,Hardwood,Northeastern North American Temperate Forest Plantation,Conifer
160,160,58.000000000000000,1570,7241,North-Central Interior Oak Savanna,Hardwood,Laurentian-Acadian Pine-Hemlock-Hardwood Forest,Conifer-Hardwood
161,161,23.000000000000000,1604,9317,Northern Tallgrass Prairie,Grassland,Northern & Central Ruderal Shrubland,Exotic Tree-Shrub
162,162,23.000000000000000,1587,7241,Paleozoic Plateau Bluff and Talus,Hardwood-Conifer,Laurentian-Acadian Pine-Hemlock-Hardwood Forest,Conifer-Hardwood
163,163,4207.000000000000000,1587,7238,Paleozoic Plateau Bluff and Talus,Hardwood-Conifer,Laurentian-Acadian Northern Oak Forest,Hardwood
164,164,1304.000000000000000,1581,7302,Boreal Acidic Peatland Systems,Riparian,Laurentian-Acadian Northern Hardwoods Forest,Hardwood
165,165,114.000000000000000,1583,7302,Laurentian-Acadian Alkaline Conifer-Hardwood Swamp,Riparian,Laurentian-Acadian Northern Hardwoods Forest,Hardwood
166,166,36.000000000000000,1590,9314,North-Central Interior Dry-Mesic Oak Forest and Woodland,Hardwood,Northern & Central Native Ruderal Flooded & Swamp Forest,Riparian
167,167,3094143.000000000000000,1570,7977,North-Central Interior Oak Savanna,Hardwood,Eastern Cool Temperate Pasture and Hayland,Agricultural
168,168,9401.000000000000000,1587,7239,Paleozoic Plateau Bluff and Talus,Hardwood-Conifer,Laurentian-Acadian Northern Pine-(Oak) Forest,Conifer-Hardwood
169,169,12.000000000000000,1581,7240,Boreal Acidic Peatland Systems,Riparian,Laurentian-Acadian Hardwood Forest,Hardwood
170,170,12.000000000000000,1609,9683,Central Interior and Appalachian Swamp Systems,Riparian,North-Central Interior Wet Meadow,Riparian
171,171,55371.000000000000000,1570,7239,North-Central Interior Oak Savanna,Hardwood,Laurentian-Acadian Northern Pine-(Oak) Forest,Conifer-Hardwood
172,172,40.000000000000000,1612,7311,Central Interior and Appalachian Shrub-Herbaceous Wetland Systems,Riparian,North-Central Interior Dry Oak Forest and Woodland,Hardwood
173,173,1274.000000000000000,1581,7238,Boreal Acidic Peatland Systems,Riparian,Laurentian-Acadian Northern Oak Forest,Hardwood
174,174,28734.000000000000000,1575,9315,North-Central Interior Sand and Gravel Tallgrass Prairie,Grassland,Northern & Central Native Ruderal Forest,Conifer-Hardwood
175,175,92689.000000000000000,1587,9315,Paleozoic Plateau Bluff and Talus,Hardwood-Conifer,Northern & Central Native Ruderal Forest,Conifer-Hardwood
176,176,10.000000000000000,1590,9318,North-Central Interior Dry-Mesic Oak Forest and Woodland,Hardwood,Northern & Central Ruderal Wet Meadow & Marsh,Riparian
177,177,97184.000000000000000,1575,7977,North-Central Interior Sand and Gravel Tallgrass Prairie,Grassland,Eastern Cool Temperate Pasture and Hayland,Agricultural
178,178,189.000000000000000,1590,7929,North-Central Interior Dry-Mesic Oak Forest and Woodland,Hardwood,Eastern Cool Temperate Developed Herbaceous,Developed
179,179,63.000000000000000,1599,9180,North-Central Interior Oak Savanna,Hardwood,North-Central Interior Freshwater Marsh,Riparian
180,180,759.000000000000000,1590,7297,North-Central Interior Dry-Mesic Oak Forest and Woodland,Hardwood,Developed-Medium Intensity,Developed-Medium Intensity
181,181,159.000000000000000,1585,7302,Central Interior and Appalachian Shrub-Herbaceous Wetland Systems,Riparian,Laurentian-Acadian Northern Hardwoods Forest,Hardwood
182,182,83753.000000000000000,1576,9817,Central Tallgrass Prairie,Grassland,Northern & Central Ruderal Meadow,Exotic Herbaceous
183,183,39.000000000000000,1590,9180,North-Central Interior Dry-Mesic Oak Forest and Woodland,Hardwood,North-Central Interior Freshwater Marsh,Riparian
184,184,206.000000000000000,1590,7298,North-Central Interior Dry-Mesic Oak Forest and Woodland,Hardwood,Developed-High Intensity,Developed-High Intensity
185,185,551021.000000000000000,1587,7977,Paleozoic Plateau Bluff and Talus,Hardwood-Conifer,Eastern Cool Temperate Pasture and Hayland,Agricultural
186,186,7190.000000000000000,1575,7239,North-Central Interior Sand and Gravel Tallgrass Prairie,Grassland,Laurentian-Acadian Northern Pine-(Oak) Forest,Conifer-Hardwood
187,187,35.000000000000000,1590,9317,North-Central Interior Dry-Mesic Oak Forest and Woodland,Hardwood,Northern & Central Ruderal Shrubland,Exotic Tree-Shrub
188,188,19579.000000000000000,1587,7908,Paleozoic Plateau Bluff and Talus,Hardwood-Conifer,Eastern Cool Temperate Urban Herbaceous,Developed
189,189,55826.000000000000000,1576,7973,Central Tallgrass Prairie,Grassland,Eastern Cool Temperate Row Crop - Close Grown Crop,Agricultural
190,190,21.000000000000000,1576,7241,Central Tallgrass Prairie,Grassland,Laurentian-Acadian Pine-Hemlock-Hardwood Forest,Conifer-Hardwood
191,191,1976565.000000000000000,1587,7310,Paleozoic Plateau Bluff and Talus,Hardwood-Conifer,North-Central Interior Dry-Mesic Oak Forest and Woodland,Hardwood
192,192,106320.000000000000000,1587,7311,Paleozoic Plateau Bluff and Talus,Hardwood-Conifer,North-Central Interior Dry Oak Forest and Woodland,Hardwood
193,193,99.000000000000000,1609,9180,Central Interior and Appalachian Swamp Systems,Riparian,North-Central Interior Freshwater Marsh,Riparian
194,194,162070.000000000000000,1570,7973,North-Central Interior Oak Savanna,Hardwood,Eastern Cool Temperate Row Crop - Close Grown Crop,Agricultural
195,195,20996.000000000000000,1575,7973,North-Central Interior Sand and Gravel Tallgrass Prairie,Grassland,Eastern Cool Temperate Row Crop - Close Grown Crop,Agricultural
