OID_,Value,Count,bps_aoi,evt_aoi,BPS_NAME,GROUPVEG,EVT_NAME,EVT_PHYS
652,652,21.000000000000000,2723,9315,Laurentian-Acadian Northern Pine(-Oak) Forest,Hardwood-Conifer,Northern & Central Native Ruderal Forest,Conifer-Hardwood
653,653,25.000000000000000,1563,7286,North-Central Interior Dry-Mesic Oak Forest and Woodland,Hardwood,Paleozoic Plateau Bluff and Talus Herbaceous,Grassland
654,654,305.000000000000000,1587,7407,Paleozoic Plateau Bluff and Talus,Hardwood-Conifer,Laurentian Pine Barrens,Conifer
655,655,2296.000000000000000,1585,9315,Central Interior and Appalachian Shrub-Herbaceous Wetland Systems,Riparian,Northern & Central Native Ruderal Forest,Conifer-Hardwood
656,656,1137.000000000000000,1575,7412,North-Central Interior Sand and Gravel Tallgrass Prairie,Grassland,North-Central Interior Sand and Gravel Tallgrass Prairie,Grassland
657,657,12.000000000000000,1606,9683,Central Interior and Appalachian Floodplain Systems,Riparian,North-Central Interior Wet Meadow,Riparian
658,658,226.000000000000000,1582,7412,Central Interior and Appalachian Swamp Systems,Riparian,North-Central Interior Sand and Gravel Tallgrass Prairie,Grassland
659,659,1314.000000000000000,1587,7243,Paleozoic Plateau Bluff and Talus,Hardwood-Conifer,Laurentian Pine-Oak Barrens,Conifer-Hardwood
660,660,174.000000000000000,1581,7906,Boreal Acidic Peatland Systems,Riparian,Eastern Cool Temperate Urban Evergreen Forest,Developed
661,661,679.000000000000000,1582,7243,Central Interior and Appalachian Swamp Systems,Riparian,Laurentian Pine-Oak Barrens,Conifer-Hardwood
662,662,29.000000000000000,1612,9317,Central Interior and Appalachian Shrub-Herbaceous Wetland Systems,Riparian,Northern & Central Ruderal Shrubland,Exotic Tree-Shrub
663,663,4.000000000000000,2723,7296,Laurentian-Acadian Northern Pine(-Oak) Forest,Hardwood-Conifer,Developed-Low Intensity,Developed-Low Intensity
664,664,611.000000000000000,1585,7925,Central Interior and Appalachian Shrub-Herbaceous Wetland Systems,Riparian,Eastern Cool Temperate Developed Deciduous Forest,Developed
665,665,2868.000000000000000,1581,7407,Boreal Acidic Peatland Systems,Riparian,Laurentian Pine Barrens,Conifer
666,666,3.000000000000000,1603,7412,North-Central Interior Sand and Gravel Tallgrass Prairie,Grassland,North-Central Interior Sand and Gravel Tallgrass Prairie,Grassland
667,667,3.000000000000000,2723,7906,Laurentian-Acadian Northern Pine(-Oak) Forest,Hardwood-Conifer,Eastern Cool Temperate Urban Evergreen Forest,Developed
668,668,17.000000000000000,2723,7311,Laurentian-Acadian Northern Pine(-Oak) Forest,Hardwood-Conifer,North-Central Interior Dry Oak Forest and Woodland,Hardwood
669,669,10.000000000000000,1606,7298,Central Interior and Appalachian Floodplain Systems,Riparian,Developed-High Intensity,Developed-High Intensity
670,670,11.000000000000000,2723,7299,Laurentian-Acadian Northern Pine(-Oak) Forest,Hardwood-Conifer,Developed-Roads,Developed-Roads
671,671,11208.000000000000000,2725,7976,Laurentian-Acadian Northern Pine(-Oak) Forest,Hardwood-Conifer,Eastern Cool Temperate Fallow/Idle Cropland,Agricultural
672,672,10.000000000000000,1603,9683,North-Central Interior Sand and Gravel Tallgrass Prairie,Grassland,North-Central Interior Wet Meadow,Riparian
673,673,4.000000000000000,2723,7907,Laurentian-Acadian Northern Pine(-Oak) Forest,Hardwood-Conifer,Eastern Cool Temperate Urban Mixed Forest,Developed
674,674,42.000000000000000,1583,7927,Laurentian-Acadian Alkaline Conifer-Hardwood Swamp,Riparian,Eastern Cool Temperate Developed Mixed Forest,Developed
675,675,38.000000000000000,1583,7296,Laurentian-Acadian Alkaline Conifer-Hardwood Swamp,Riparian,Developed-Low Intensity,Developed-Low Intensity
676,676,4890.000000000000000,1582,7395,Central Interior and Appalachian Swamp Systems,Riparian,North-Central Oak Barrens Woodland,Hardwood
677,677,281.000000000000000,1587,9112,Paleozoic Plateau Bluff and Talus,Hardwood-Conifer,Laurentian Jack Pine-Red Pine Forest,Conifer
678,678,826.000000000000000,1575,9180,North-Central Interior Sand and Gravel Tallgrass Prairie,Grassland,North-Central Interior Freshwater Marsh,Riparian
679,679,102.000000000000000,1576,7243,Central Tallgrass Prairie,Grassland,Laurentian Pine-Oak Barrens,Conifer-Hardwood
680,680,30.000000000000000,1575,7366,North-Central Interior Sand and Gravel Tallgrass Prairie,Grassland,Laurentian-Acadian Pine-Hemlock Forest,Conifer
681,681,6.000000000000000,1575,9617,North-Central Interior Sand and Gravel Tallgrass Prairie,Grassland,Laurentian-Acadian Floodplain Shrubland,Riparian
682,682,5.000000000000000,2723,9180,Laurentian-Acadian Northern Pine(-Oak) Forest,Hardwood-Conifer,North-Central Interior Freshwater Marsh,Riparian
683,683,6.000000000000000,1575,9677,North-Central Interior Sand and Gravel Tallgrass Prairie,Grassland,North-Central Interior and Appalachian Acidic Peatland Shrubland,Riparian
684,684,437.000000000000000,1566,7970,North-Central Interior Maple-Basswood Forest,Hardwood,Eastern Cool Temperate Orchard,Agricultural
685,685,346.000000000000000,2725,9180,Laurentian-Acadian Northern Pine(-Oak) Forest,Hardwood-Conifer,North-Central Interior Freshwater Marsh,Riparian
686,686,361.000000000000000,1582,7297,Central Interior and Appalachian Swamp Systems,Riparian,Developed-Medium Intensity,Developed-Medium Intensity
687,687,13138.000000000000000,1571,9178,North-Central Oak Barrens,Hardwood,North-Central Interior and Appalachian Rich Swamp,Riparian
688,688,684.000000000000000,1583,9120,Laurentian-Acadian Alkaline Conifer-Hardwood Swamp,Riparian,Laurentian-Acadian Wet Meadow,Riparian
689,689,10787.000000000000000,2725,9315,Laurentian-Acadian Northern Pine(-Oak) Forest,Hardwood-Conifer,Northern & Central Native Ruderal Forest,Conifer-Hardwood
690,690,10423.000000000000000,1581,9120,Boreal Acidic Peatland Systems,Riparian,Laurentian-Acadian Wet Meadow,Riparian
691,691,14393.000000000000000,2725,9817,Laurentian-Acadian Northern Pine(-Oak) Forest,Hardwood-Conifer,Northern & Central Ruderal Meadow,Exotic Herbaceous
692,692,49817.000000000000000,2725,7362,Laurentian-Acadian Northern Pine(-Oak) Forest,Hardwood-Conifer,Laurentian-Acadian Northern Pine Forest,Conifer
693,693,10156.000000000000000,2725,7314,Laurentian-Acadian Northern Pine(-Oak) Forest,Hardwood-Conifer,North-Central Interior Maple-Basswood Forest,Hardwood
694,694,52769.000000000000000,2725,7310,Laurentian-Acadian Northern Pine(-Oak) Forest,Hardwood-Conifer,North-Central Interior Dry-Mesic Oak Forest and Woodland,Hardwood
695,695,2413.000000000000000,2725,7973,Laurentian-Acadian Northern Pine(-Oak) Forest,Hardwood-Conifer,Eastern Cool Temperate Row Crop - Close Grown Crop,Agricultural
696,696,826.000000000000000,1582,9679,Central Interior and Appalachian Swamp Systems,Riparian,North-Central Interior Floodplain Shrubland,Riparian
697,697,4713.000000000000000,2725,7908,Laurentian-Acadian Northern Pine(-Oak) Forest,Hardwood-Conifer,Eastern Cool Temperate Urban Herbaceous,Developed
698,698,503.000000000000000,1585,7395,Central Interior and Appalachian Shrub-Herbaceous Wetland Systems,Riparian,North-Central Oak Barrens Woodland,Hardwood
699,699,8271.000000000000000,1570,9177,North-Central Interior Oak Savanna,Hardwood,North-Central Interior and Appalachian Acidic Peatland Woodland,Riparian
700,700,23.000000000000000,1612,9683,Central Interior and Appalachian Shrub-Herbaceous Wetland Systems,Riparian,North-Central Interior Wet Meadow,Riparian
701,701,3531.000000000000000,2725,9314,Laurentian-Acadian Northern Pine(-Oak) Forest,Hardwood-Conifer,Northern & Central Native Ruderal Flooded & Swamp Forest,Riparian
702,702,33704.000000000000000,1571,7395,North-Central Oak Barrens,Hardwood,North-Central Oak Barrens Woodland,Hardwood
703,703,622.000000000000000,2725,9183,Laurentian-Acadian Northern Pine(-Oak) Forest,Hardwood-Conifer,North-Central Interior Shrub Swamp,Riparian
704,704,1614.000000000000000,1563,7362,North-Central Interior Dry-Mesic Oak Forest and Woodland,Hardwood,Laurentian-Acadian Northern Pine Forest,Conifer
705,705,75.000000000000000,1576,7242,Central Tallgrass Prairie,Grassland,Laurentian Oak Barrens,Hardwood
706,706,11.000000000000000,1603,7978,North-Central Interior Sand and Gravel Tallgrass Prairie,Grassland,Eastern Cool Temperate Wheat,Agricultural
707,707,7945.000000000000000,1570,9683,North-Central Interior Oak Savanna,Hardwood,North-Central Interior Wet Meadow,Riparian
708,708,4.000000000000000,2723,7927,Laurentian-Acadian Northern Pine(-Oak) Forest,Hardwood-Conifer,Eastern Cool Temperate Developed Mixed Forest,Developed
709,709,5.000000000000000,2723,7925,Laurentian-Acadian Northern Pine(-Oak) Forest,Hardwood-Conifer,Eastern Cool Temperate Developed Deciduous Forest,Developed
710,710,402.000000000000000,1563,7295,North-Central Interior Dry-Mesic Oak Forest and Woodland,Hardwood,Quarries-Strip Mines-Gravel Pits-Well and Wind Pads,Quarries-Strip Mines-Gravel Pits-Well and Wind Pads
711,711,63.000000000000000,1576,7488,Central Tallgrass Prairie,Grassland,Eastern Great Plains Wet Meadow-Prairie-Marsh,Riparian
712,712,44.000000000000000,1582,7295,Central Interior and Appalachian Swamp Systems,Riparian,Quarries-Strip Mines-Gravel Pits-Well and Wind Pads,Quarries-Strip Mines-Gravel Pits-Well and Wind Pads
713,713,14.000000000000000,1583,7907,Laurentian-Acadian Alkaline Conifer-Hardwood Swamp,Riparian,Eastern Cool Temperate Urban Mixed Forest,Developed
714,714,59.000000000000000,1583,7407,Laurentian-Acadian Alkaline Conifer-Hardwood Swamp,Riparian,Laurentian Pine Barrens,Conifer
715,715,214.000000000000000,1585,7927,Central Interior and Appalachian Shrub-Herbaceous Wetland Systems,Riparian,Eastern Cool Temperate Developed Mixed Forest,Developed
716,716,30487.000000000000000,1571,7239,North-Central Oak Barrens,Hardwood,Laurentian-Acadian Northern Pine-(Oak) Forest,Conifer-Hardwood
717,717,17.000000000000000,1606,7909,Central Interior and Appalachian Floodplain Systems,Riparian,Eastern Cool Temperate Urban Shrubland,Developed
718,718,10912.000000000000000,1571,7407,North-Central Oak Barrens,Hardwood,Laurentian Pine Barrens,Conifer
719,719,15281.000000000000000,1572,9178,Laurentian Pine-Oak Barrens,Hardwood-Conifer,North-Central Interior and Appalachian Rich Swamp,Riparian
720,720,2212.000000000000000,1581,7314,Boreal Acidic Peatland Systems,Riparian,North-Central Interior Maple-Basswood Forest,Hardwood
721,721,36877.000000000000000,1571,9312,North-Central Oak Barrens,Hardwood,Northeastern North American Temperate Forest Plantation,Conifer
722,722,3325.000000000000000,1581,7239,Boreal Acidic Peatland Systems,Riparian,Laurentian-Acadian Northern Pine-(Oak) Forest,Conifer-Hardwood
723,723,3985.000000000000000,1572,7975,Laurentian Pine-Oak Barrens,Hardwood-Conifer,Eastern Cool Temperate Close Grown Crop,Agricultural
724,724,30318.000000000000000,1571,7362,North-Central Oak Barrens,Hardwood,Laurentian-Acadian Northern Pine Forest,Conifer
725,725,8500.000000000000000,1581,7311,Boreal Acidic Peatland Systems,Riparian,North-Central Interior Dry Oak Forest and Woodland,Hardwood
726,726,5796.000000000000000,1572,7977,Laurentian Pine-Oak Barrens,Hardwood-Conifer,Eastern Cool Temperate Pasture and Hayland,Agricultural
727,727,2.000000000000000,2723,7905,Laurentian-Acadian Northern Pine(-Oak) Forest,Hardwood-Conifer,Eastern Cool Temperate Urban Deciduous Forest,Developed
728,728,602.000000000000000,1581,7242,Boreal Acidic Peatland Systems,Riparian,Laurentian Oak Barrens,Hardwood
729,729,111.000000000000000,1564,7298,North-Central Interior Dry Oak Forest and Woodland,Hardwood,Developed-High Intensity,Developed-High Intensity
730,730,3352.000000000000000,1572,7314,Laurentian Pine-Oak Barrens,Hardwood-Conifer,North-Central Interior Maple-Basswood Forest,Hardwood
731,731,49.000000000000000,1572,7481,Laurentian Pine-Oak Barrens,Hardwood-Conifer,Laurentian-Acadian Alkaline Conifer-Hardwood Swamp,Riparian
732,732,620.000000000000000,1581,7296,Boreal Acidic Peatland Systems,Riparian,Developed-Low Intensity,Developed-Low Intensity
733,733,280.000000000000000,1581,7297,Boreal Acidic Peatland Systems,Riparian,Developed-Medium Intensity,Developed-Medium Intensity
734,734,6.000000000000000,2723,9817,Laurentian-Acadian Northern Pine(-Oak) Forest,Hardwood-Conifer,Northern & Central Ruderal Meadow,Exotic Herbaceous
735,735,7167.000000000000000,1570,7243,North-Central Interior Oak Savanna,Hardwood,Laurentian Pine-Oak Barrens,Conifer-Hardwood
736,736,161.000000000000000,1581,7905,Boreal Acidic Peatland Systems,Riparian,Eastern Cool Temperate Urban Deciduous Forest,Developed
737,737,923.000000000000000,1576,9180,Central Tallgrass Prairie,Grassland,North-Central Interior Freshwater Marsh,Riparian
738,738,6796.000000000000000,2725,7296,Laurentian-Acadian Northern Pine(-Oak) Forest,Hardwood-Conifer,Developed-Low Intensity,Developed-Low Intensity
739,739,2836.000000000000000,2725,7298,Laurentian-Acadian Northern Pine(-Oak) Forest,Hardwood-Conifer,Developed-High Intensity,Developed-High Intensity
740,740,16389.000000000000000,1572,7299,Laurentian Pine-Oak Barrens,Hardwood-Conifer,Developed-Roads,Developed-Roads
741,741,12807.000000000000000,1572,7974,Laurentian Pine-Oak Barrens,Hardwood-Conifer,Eastern Cool Temperate Row Crop,Agricultural
742,742,36259.000000000000000,1572,7239,Laurentian Pine-Oak Barrens,Hardwood-Conifer,Laurentian-Acadian Northern Pine-(Oak) Forest,Conifer-Hardwood
743,743,338.000000000000000,1572,7927,Laurentian Pine-Oak Barrens,Hardwood-Conifer,Eastern Cool Temperate Developed Mixed Forest,Developed
744,744,40193.000000000000000,1572,7311,Laurentian Pine-Oak Barrens,Hardwood-Conifer,North-Central Interior Dry Oak Forest and Woodland,Hardwood
745,745,2505.000000000000000,1572,7908,Laurentian Pine-Oak Barrens,Hardwood-Conifer,Eastern Cool Temperate Urban Herbaceous,Developed
746,746,2.000000000000000,1613,9315,Laurentian-Acadian Shrub-Herbaceous Wetland Systems,Riparian,Northern & Central Native Ruderal Forest,Conifer-Hardwood
747,747,5.000000000000000,1613,7310,Laurentian-Acadian Shrub-Herbaceous Wetland Systems,Riparian,North-Central Interior Dry-Mesic Oak Forest and Woodland,Hardwood
748,748,407.000000000000000,1572,7929,Laurentian Pine-Oak Barrens,Hardwood-Conifer,Eastern Cool Temperate Developed Herbaceous,Developed
749,749,1939.000000000000000,1572,7906,Laurentian Pine-Oak Barrens,Hardwood-Conifer,Eastern Cool Temperate Urban Evergreen Forest,Developed
750,750,5.000000000000000,1613,7314,Laurentian-Acadian Shrub-Herbaceous Wetland Systems,Riparian,North-Central Interior Maple-Basswood Forest,Hardwood
751,751,1072.000000000000000,2725,7929,Laurentian-Acadian Northern Pine(-Oak) Forest,Hardwood-Conifer,Eastern Cool Temperate Developed Herbaceous,Developed
752,752,3921.000000000000000,2725,7297,Laurentian-Acadian Northern Pine(-Oak) Forest,Hardwood-Conifer,Developed-Medium Intensity,Developed-Medium Intensity
753,753,2924.000000000000000,1572,7976,Laurentian Pine-Oak Barrens,Hardwood-Conifer,Eastern Cool Temperate Fallow/Idle Cropland,Agricultural
754,754,657.000000000000000,1572,7302,Laurentian Pine-Oak Barrens,Hardwood-Conifer,Laurentian-Acadian Northern Hardwoods Forest,Hardwood
755,755,2962.000000000000000,2725,7905,Laurentian-Acadian Northern Pine(-Oak) Forest,Hardwood-Conifer,Eastern Cool Temperate Urban Deciduous Forest,Developed
756,756,1625.000000000000000,2725,7909,Laurentian-Acadian Northern Pine(-Oak) Forest,Hardwood-Conifer,Eastern Cool Temperate Urban Shrubland,Developed
757,757,958.000000000000000,2725,7927,Laurentian-Acadian Northern Pine(-Oak) Forest,Hardwood-Conifer,Eastern Cool Temperate Developed Mixed Forest,Developed
758,758,18.000000000000000,1581,7488,Boreal Acidic Peatland Systems,Riparian,Eastern Great Plains Wet Meadow-Prairie-Marsh,Riparian
759,759,3412.000000000000000,1570,9112,North-Central Interior Oak Savanna,Hardwood,Laurentian Jack Pine-Red Pine Forest,Conifer
760,760,364.000000000000000,1581,7908,Boreal Acidic Peatland Systems,Riparian,Eastern Cool Temperate Urban Herbaceous,Developed
761,761,4480.000000000000000,1572,9315,Laurentian Pine-Oak Barrens,Hardwood-Conifer,Northern & Central Native Ruderal Forest,Conifer-Hardwood
762,762,3210.000000000000000,2725,9318,Laurentian-Acadian Northern Pine(-Oak) Forest,Hardwood-Conifer,Northern & Central Ruderal Wet Meadow & Marsh,Riparian
763,763,4.000000000000000,2725,7488,Laurentian-Acadian Northern Pine(-Oak) Forest,Hardwood-Conifer,Eastern Great Plains Wet Meadow-Prairie-Marsh,Riparian
764,764,2412.000000000000000,2725,7906,Laurentian-Acadian Northern Pine(-Oak) Forest,Hardwood-Conifer,Eastern Cool Temperate Urban Evergreen Forest,Developed
765,765,7368.000000000000000,1579,9315,Central Interior and Appalachian Floodplain Systems,Riparian,Northern & Central Native Ruderal Forest,Conifer-Hardwood
766,766,559.000000000000000,2725,7926,Laurentian-Acadian Northern Pine(-Oak) Forest,Hardwood-Conifer,Eastern Cool Temperate Developed Evergreen Forest,Developed
767,767,1894.000000000000000,2725,7907,Laurentian-Acadian Northern Pine(-Oak) Forest,Hardwood-Conifer,Eastern Cool Temperate Urban Mixed Forest,Developed
768,768,1139.000000000000000,2725,7925,Laurentian-Acadian Northern Pine(-Oak) Forest,Hardwood-Conifer,Eastern Cool Temperate Developed Deciduous Forest,Developed
769,769,4878.000000000000000,1570,7242,North-Central Interior Oak Savanna,Hardwood,Laurentian Oak Barrens,Hardwood
770,770,2363.000000000000000,1572,7296,Laurentian Pine-Oak Barrens,Hardwood-Conifer,Developed-Low Intensity,Developed-Low Intensity
771,771,739.000000000000000,1581,7243,Boreal Acidic Peatland Systems,Riparian,Laurentian Pine-Oak Barrens,Conifer-Hardwood
772,772,12.000000000000000,1583,7243,Laurentian-Acadian Alkaline Conifer-Hardwood Swamp,Riparian,Laurentian Pine-Oak Barrens,Conifer-Hardwood
773,773,265.000000000000000,1564,7929,North-Central Interior Dry Oak Forest and Woodland,Hardwood,Eastern Cool Temperate Developed Herbaceous,Developed
774,774,7628.000000000000000,1570,7407,North-Central Interior Oak Savanna,Hardwood,Laurentian Pine Barrens,Conifer
775,775,1482.000000000000000,1564,9817,North-Central Interior Dry Oak Forest and Woodland,Hardwood,Northern & Central Ruderal Meadow,Exotic Herbaceous
776,776,14566.000000000000000,1579,9817,Central Interior and Appalachian Floodplain Systems,Riparian,Northern & Central Ruderal Meadow,Exotic Herbaceous
777,777,2009.000000000000000,1581,7299,Boreal Acidic Peatland Systems,Riparian,Developed-Roads,Developed-Roads
778,778,5247.000000000000000,1579,7977,Central Interior and Appalachian Floodplain Systems,Riparian,Eastern Cool Temperate Pasture and Hayland,Agricultural
779,779,95.000000000000000,1564,7302,North-Central Interior Dry Oak Forest and Woodland,Hardwood,Laurentian-Acadian Northern Hardwoods Forest,Hardwood
780,780,324.000000000000000,1564,7239,North-Central Interior Dry Oak Forest and Woodland,Hardwood,Laurentian-Acadian Northern Pine-(Oak) Forest,Conifer-Hardwood
781,781,1465.000000000000000,1564,7311,North-Central Interior Dry Oak Forest and Woodland,Hardwood,North-Central Interior Dry Oak Forest and Woodland,Hardwood
782,782,22.000000000000000,1583,9677,Laurentian-Acadian Alkaline Conifer-Hardwood Swamp,Riparian,North-Central Interior and Appalachian Acidic Peatland Shrubland,Riparian
783,783,44170.000000000000000,2725,7311,Laurentian-Acadian Northern Pine(-Oak) Forest,Hardwood-Conifer,North-Central Interior Dry Oak Forest and Woodland,Hardwood
784,784,55.000000000000000,1582,7928,Central Interior and Appalachian Swamp Systems,Riparian,Eastern Cool Temperate Developed Shrubland,Developed
785,785,125.000000000000000,1582,7906,Central Interior and Appalachian Swamp Systems,Riparian,Eastern Cool Temperate Urban Evergreen Forest,Developed
786,786,26.000000000000000,1583,9317,Laurentian-Acadian Alkaline Conifer-Hardwood Swamp,Riparian,Northern & Central Ruderal Shrubland,Exotic Tree-Shrub
787,787,310.000000000000000,2725,7978,Laurentian-Acadian Northern Pine(-Oak) Forest,Hardwood-Conifer,Eastern Cool Temperate Wheat,Agricultural
788,788,2224.000000000000000,1564,9315,North-Central Interior Dry Oak Forest and Woodland,Hardwood,Northern & Central Native Ruderal Forest,Conifer-Hardwood
789,789,671.000000000000000,1564,7362,North-Central Interior Dry Oak Forest and Woodland,Hardwood,Laurentian-Acadian Northern Pine Forest,Conifer
790,790,82017.000000000000000,2725,7239,Laurentian-Acadian Northern Pine(-Oak) Forest,Hardwood-Conifer,Laurentian-Acadian Northern Pine-(Oak) Forest,Conifer-Hardwood
791,791,417.000000000000000,1566,9177,North-Central Interior Maple-Basswood Forest,Hardwood,North-Central Interior and Appalachian Acidic Peatland Woodland,Riparian
792,792,5.000000000000000,1564,9112,North-Central Interior Dry Oak Forest and Woodland,Hardwood,Laurentian Jack Pine-Red Pine Forest,Conifer
793,793,6416.000000000000000,2725,7243,Laurentian-Acadian Northern Pine(-Oak) Forest,Hardwood-Conifer,Laurentian Pine-Oak Barrens,Conifer-Hardwood
794,794,2523.000000000000000,2725,9317,Laurentian-Acadian Northern Pine(-Oak) Forest,Hardwood-Conifer,Northern & Central Ruderal Shrubland,Exotic Tree-Shrub
795,795,3123.000000000000000,2725,7395,Laurentian-Acadian Northern Pine(-Oak) Forest,Hardwood-Conifer,North-Central Oak Barrens Woodland,Hardwood
796,796,7751.000000000000000,1581,9683,Boreal Acidic Peatland Systems,Riparian,North-Central Interior Wet Meadow,Riparian
797,797,3.000000000000000,1613,7975,Laurentian-Acadian Shrub-Herbaceous Wetland Systems,Riparian,Eastern Cool Temperate Close Grown Crop,Agricultural
798,798,71.000000000000000,1564,7927,North-Central Interior Dry Oak Forest and Woodland,Hardwood,Eastern Cool Temperate Developed Mixed Forest,Developed
799,799,108.000000000000000,1564,7925,North-Central Interior Dry Oak Forest and Woodland,Hardwood,Eastern Cool Temperate Developed Deciduous Forest,Developed
800,800,935.000000000000000,1572,9314,Laurentian Pine-Oak Barrens,Hardwood-Conifer,Northern & Central Native Ruderal Flooded & Swamp Forest,Riparian
801,801,3816.000000000000000,1571,9317,North-Central Oak Barrens,Hardwood,Northern & Central Ruderal Shrubland,Exotic Tree-Shrub
802,802,1.000000000000000,1576,9617,Central Tallgrass Prairie,Grassland,Laurentian-Acadian Floodplain Shrubland,Riparian
803,803,28894.000000000000000,1579,7310,Central Interior and Appalachian Floodplain Systems,Riparian,North-Central Interior Dry-Mesic Oak Forest and Woodland,Hardwood
804,804,16896.000000000000000,1579,7314,Central Interior and Appalachian Floodplain Systems,Riparian,North-Central Interior Maple-Basswood Forest,Hardwood
805,805,669.000000000000000,1564,9312,North-Central Interior Dry Oak Forest and Woodland,Hardwood,Northeastern North American Temperate Forest Plantation,Conifer
806,806,798.000000000000000,1582,9682,Central Interior and Appalachian Swamp Systems,Riparian,North-Central Interior Graminoid Alkaline Fen,Riparian
807,807,605.000000000000000,1581,9318,Boreal Acidic Peatland Systems,Riparian,Northern & Central Ruderal Wet Meadow & Marsh,Riparian
808,808,669.000000000000000,1585,9682,Central Interior and Appalachian Shrub-Herbaceous Wetland Systems,Riparian,North-Central Interior Graminoid Alkaline Fen,Riparian
809,809,1269.000000000000000,1579,9312,Central Interior and Appalachian Floodplain Systems,Riparian,Northeastern North American Temperate Forest Plantation,Conifer
810,810,1294.000000000000000,1579,7239,Central Interior and Appalachian Floodplain Systems,Riparian,Laurentian-Acadian Northern Pine-(Oak) Forest,Conifer-Hardwood
811,811,27.000000000000000,1583,7908,Laurentian-Acadian Alkaline Conifer-Hardwood Swamp,Riparian,Eastern Cool Temperate Urban Herbaceous,Developed
812,812,19055.000000000000000,1579,7311,Central Interior and Appalachian Floodplain Systems,Riparian,North-Central Interior Dry Oak Forest and Woodland,Hardwood
813,813,1366.000000000000000,1579,7296,Central Interior and Appalachian Floodplain Systems,Riparian,Developed-Low Intensity,Developed-Low Intensity
814,814,76.000000000000000,2725,7928,Laurentian-Acadian Northern Pine(-Oak) Forest,Hardwood-Conifer,Eastern Cool Temperate Developed Shrubland,Developed
815,815,2874.000000000000000,1581,9314,Boreal Acidic Peatland Systems,Riparian,Northern & Central Native Ruderal Flooded & Swamp Forest,Riparian
816,816,24.000000000000000,1585,7243,Central Interior and Appalachian Shrub-Herbaceous Wetland Systems,Riparian,Laurentian Pine-Oak Barrens,Conifer-Hardwood
817,817,5830.000000000000000,1581,9179,Boreal Acidic Peatland Systems,Riparian,North-Central Interior Floodplain Forest,Riparian
818,818,137.000000000000000,1564,9317,North-Central Interior Dry Oak Forest and Woodland,Hardwood,Northern & Central Ruderal Shrubland,Exotic Tree-Shrub
819,819,586543.000000000000000,1579,9179,Central Interior and Appalachian Floodplain Systems,Riparian,North-Central Interior Floodplain Forest,Riparian
820,820,335.000000000000000,1564,7905,North-Central Interior Dry Oak Forest and Woodland,Hardwood,Eastern Cool Temperate Urban Deciduous Forest,Developed
821,821,951.000000000000000,1572,7973,Laurentian Pine-Oak Barrens,Hardwood-Conifer,Eastern Cool Temperate Row Crop - Close Grown Crop,Agricultural
822,822,751.000000000000000,1585,9312,Central Interior and Appalachian Shrub-Herbaceous Wetland Systems,Riparian,Northeastern North American Temperate Forest Plantation,Conifer
823,823,446.000000000000000,1579,7297,Central Interior and Appalachian Floodplain Systems,Riparian,Developed-Medium Intensity,Developed-Medium Intensity
824,824,85.000000000000000,1581,7978,Boreal Acidic Peatland Systems,Riparian,Eastern Cool Temperate Wheat,Agricultural
825,825,1597.000000000000000,1587,7298,Paleozoic Plateau Bluff and Talus,Hardwood-Conifer,Developed-High Intensity,Developed-High Intensity
826,826,42689.000000000000000,2725,9178,Laurentian-Acadian Northern Pine(-Oak) Forest,Hardwood-Conifer,North-Central Interior and Appalachian Rich Swamp,Riparian
827,827,10133.000000000000000,2725,9312,Laurentian-Acadian Northern Pine(-Oak) Forest,Hardwood-Conifer,Northeastern North American Temperate Forest Plantation,Conifer
828,828,397.000000000000000,1575,7421,North-Central Interior Sand and Gravel Tallgrass Prairie,Grassland,Central Tallgrass Prairie,Grassland
829,829,402.000000000000000,1579,7302,Central Interior and Appalachian Floodplain Systems,Riparian,Laurentian-Acadian Northern Hardwoods Forest,Hardwood
830,830,43916.000000000000000,1579,9178,Central Interior and Appalachian Floodplain Systems,Riparian,North-Central Interior and Appalachian Rich Swamp,Riparian
831,831,1240.000000000000000,1579,9117,Central Interior and Appalachian Floodplain Systems,Riparian,Laurentian-Acadian Floodplain Forest,Riparian
832,832,11677.000000000000000,1579,9177,Central Interior and Appalachian Floodplain Systems,Riparian,North-Central Interior and Appalachian Acidic Peatland Woodland,Riparian
833,833,38.000000000000000,1575,9682,North-Central Interior Sand and Gravel Tallgrass Prairie,Grassland,North-Central Interior Graminoid Alkaline Fen,Riparian
834,834,267.000000000000000,1579,7907,Central Interior and Appalachian Floodplain Systems,Riparian,Eastern Cool Temperate Urban Mixed Forest,Developed
835,835,31.000000000000000,1564,7906,North-Central Interior Dry Oak Forest and Woodland,Hardwood,Eastern Cool Temperate Urban Evergreen Forest,Developed
836,836,5581.000000000000000,1579,9183,Central Interior and Appalachian Floodplain Systems,Riparian,North-Central Interior Shrub Swamp,Riparian
837,837,2140.000000000000000,1579,7481,Central Interior and Appalachian Floodplain Systems,Riparian,Laurentian-Acadian Alkaline Conifer-Hardwood Swamp,Riparian
838,838,232.000000000000000,1570,9117,North-Central Interior Oak Savanna,Hardwood,Laurentian-Acadian Floodplain Forest,Riparian
839,839,264.000000000000000,1571,7928,North-Central Oak Barrens,Hardwood,Eastern Cool Temperate Developed Shrubland,Developed
840,840,2126.000000000000000,1570,7926,North-Central Interior Oak Savanna,Hardwood,Eastern Cool Temperate Developed Evergreen Forest,Developed
